instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
10,neurips,fabricated,fabricated,fabricated,"A search for the paper titled 'An empirical study of state space models for large language modeling' with arXiv ID 2406.07887 yielded no results, indicating that the paper does not exist. Additionally, the arXiv ID 2406.07887 does not correspond to any known publication.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'An empirical study of state space models for large language modeling' with arXiv ID 2406.07887 yielded no results, indicating that the paper does not exist. Additionally, the arXiv ID 2406.07887 does not correspond to any known publication."",
  ""confidence"": ""high""
} ",824,119,0.02825,3.485,1,"[""An empirical study of state space models for large language modeling arXiv:2406.07887""]",,False,,
11,s2_real,valid,valid,valid,"The reference describes an abstract titled 'Education Silent Abstracts' authored by Irina A. Roldán, A. Oviedo, and M. Ruiz, published in 2017 in 'In Vitro Cellular & Developmental Biology - Animal'. The DOI 10.1007/s11626-017-0160-3 corresponds to this publication. The authors' names and the venue are consistent with the information available in the source. Therefore, the reference is valid.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes an abstract titled 'Education Silent Abstracts' authored by Irina A. Roldán, A. Oviedo, and M. Ruiz, published in 2017 in 'In Vitro Cellular & Developmental Biology - Animal'. The DOI 10.1007/s11626-017-0160-3 corresponds to this publication. The authors' names and the venue are consistent with the information available in the source. Therefore, the reference is valid."",
  ""confidence"": ""high""
} ",841,145,0.028553,4.421,1,"[""10.1007/s11626-017-0160-3""]",,False,,
12,iclr2026,fabricated,fabricated,fabricated,"A search for the paper titled 'Defense against adversarial attacks using spectral regularization' by Dinghuai Zhang, Yang Song, Inderjit Dhillon, and Eric Xing, purportedly presented at ICLR 2020, yielded no results. Additionally, there is no record of such a paper in the ICLR 2020 proceedings. Therefore, the reference appears to be fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'Defense against adversarial attacks using spectral regularization' by Dinghuai Zhang, Yang Song, Inderjit Dhillon, and Eric Xing, purportedly presented at ICLR 2020, yielded no results. Additionally, there is no record of such a paper in the ICLR 2020 proceedings. Therefore, the reference appears to be fabricated."",
  ""confidence"": ""high""
} ",786,144,0.028405,4.291,1,"[""Defense against adversarial attacks using spectral regularization Dinghuai Zhang, Yang Song, Inderjit Dhillon, Eric Xing ICLR 2020""]",,False,,
13,s2_real,valid,fabricated,fabricated,"The DOI 10.4324/9781315393421-8 does not correspond to any known publication, and no evidence of a paper titled 'Agriculture growth models' authored by Surendra Singh and P. Chhetri in 2016 was found.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The DOI 10.4324/9781315393421-8 does not correspond to any known publication, and no evidence of a paper titled 'Agriculture growth models' authored by Surendra Singh and P. Chhetri in 2016 was found."",
  ""confidence"": ""high""
} ",785,105,0.028013,3.75,1,"[""DOI 10.4324/9781315393421-8""]",,False,,
14,s2_real,valid,valid,valid,The reference describes a real thesis titled 'Diseño de sistema de adquisición de datos y control' authored by Rubén Oliva Martín in 2018 at the Universidad Politécnica de Madrid. The slight discrepancy in the author's name (Oliva Martín vs. Martín) is minor and does not indicate fabrication.,high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real thesis titled 'Diseño de sistema de adquisición de datos y control' authored by Rubén Oliva Martín in 2018 at the Universidad Politécnica de Madrid. The slight discrepancy in the author's name (Oliva Martín vs. Martín) is minor and does not indicate fabrication."",
  ""confidence"": ""high""
} ",767,113,0.028048,5.211,1,"[""Diseño de sistema de adquisición de datos y control Rubén Martín 2018""]",,False,,
15,neurips,fabricated,fabricated,fabricated,"The reference claims the paper titled 'Quantizing deep convolutional networks for efficient inference: A whitepaper' was authored by Itay Hubara, Matthieu Courbariaux, Daniel Soudry, Rami El-Yaniv, and Yoshua Bengio, and was published on arXiv in 2017 with the identifier 1612.01462. However, arXiv ID 1612.01462 corresponds to a different paper titled 'Weakly Isolated Horizons: First order actions and gauge symmetries' by Alejandro Corichi, Juan D. Reyes, and Tatjana Vukašinac. Additionally, the correct arXiv ID for 'Quantizing deep convolutional networks for efficient inference: A whitepaper' ",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference claims the paper titled 'Quantizing deep convolutional networks for efficient inference: A whitepaper' was authored by Itay Hubara, Matthieu Courbariaux, Daniel Soudry, Rami El-Yaniv, and Yoshua Bengio, and was published on arXiv in 2017 with the identifier 1612.01462. However, arXiv ID 1612.01462 corresponds to a different paper titled 'Weakly Isolated Horizons: First order actions and gauge symmetries' by Alejandro Corichi, Juan D. Reyes, and Tatjana Vukašinac. Additionally, the correct arXiv ID for 'Quantizing deep convolutional networks for efficient inference: A whitepaper' is 1806.08342, authored solely by Raghuraman Krishnamoorthi and published in 2018. Therefore, the provided reference contains multiple inaccuracies regarding authorship, publication date, and arXiv identifier."",
  ""confidence"": ""high""
} ",829,257,0.029643,5.003,1,"[""Quantizing deep convolutional networks for efficient inference: A whitepaper arXiv:1612.01462""]",,False,,
16,iclr2026,fabricated,fabricated,fabricated,"A search for the article titled 'Exploring the use of chatgpt in grading programming assignments: Benefits and risks' by Piotr Jukiewicz in 'Education and Information Technologies' (2024) yielded no results. However, a similar article titled 'The Future of Grading Programming Assignments in Education: The Role of ChatGPT in Automating the Assessment and Feedback Process' by Marcin Jukiewicz was published in 'Thinking Skills and Creativity' in 2024. This suggests that the provided reference is fabricated, possibly due to incorrect author and venue details.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the article titled 'Exploring the use of chatgpt in grading programming assignments: Benefits and risks' by Piotr Jukiewicz in 'Education and Information Technologies' (2024) yielded no results. However, a similar article titled 'The Future of Grading Programming Assignments in Education: The Role of ChatGPT in Automating the Assessment and Feedback Process' by Marcin Jukiewicz was published in 'Thinking Skills and Creativity' in 2024. This suggests that the provided reference is fabricated, possibly due to incorrect author and venue details."",
  ""confidence"": ""high""
} ",768,182,0.02874,5.391,1,"[""Exploring the use of chatgpt in grading programming assignments: Benefits and risks Piotr Jukiewicz Education and Information Technologies 2024""]",,False,,
17,iclr2026,fabricated,fabricated,fabricated,"The reference lists the title 'Scalable gradients for stochastic differential equations' and attributes it to authors Xuechen Li, Juntang Zhuang, Yifan Ding, Zhaozong Jin, Yun chen Chen, and Stefanie Jegelka, presented at AISTATS 2020. However, the actual paper titled 'Scalable Gradients for Stochastic Differential Equations' was authored by Xuechen Li, Ting-Kam Leonard Wong, Ricky T. Q. Chen, and David Duvenaud, and was indeed presented at AISTATS 2020. The discrepancy in the author list indicates that the reference is fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference lists the title 'Scalable gradients for stochastic differential equations' and attributes it to authors Xuechen Li, Juntang Zhuang, Yifan Ding, Zhaozong Jin, Yun chen Chen, and Stefanie Jegelka, presented at AISTATS 2020. However, the actual paper titled 'Scalable Gradients for Stochastic Differential Equations' was authored by Xuechen Li, Ting-Kam Leonard Wong, Ricky T. Q. Chen, and David Duvenaud, and was indeed presented at AISTATS 2020. The discrepancy in the author list indicates that the reference is fabricated."",
  ""confidence"": ""high""
} ",851,183,0.028958,5.025,1,"[""Scalable gradients for stochastic differential equations Xuechen Li AISTATS 2020""]",,False,,
18,neurips,fabricated,valid,valid,"The reference provides an arXiv ID (arXiv:2303.08603) that corresponds to a paper titled 'Learning to trade with continuous action spaces: Application to market making' authored by Pierre Casgrain, Anirudh Kulkarni, and Nicholas Watters, published in 2023. The title, authors, and year match the provided information, confirming the paper's existence and accuracy.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference provides an arXiv ID (arXiv:2303.08603) that corresponds to a paper titled 'Learning to trade with continuous action spaces: Application to market making' authored by Pierre Casgrain, Anirudh Kulkarni, and Nicholas Watters, published in 2023. The title, authors, and year match the provided information, confirming the paper's existence and accuracy."",
  ""confidence"": ""high""
} ",794,139,0.028375,4.2,1,"[""Learning to trade with continuous action spaces: Application to market making arXiv:2303.08603""]",,False,,
19,neurips,fabricated,fabricated,fabricated,"A search for the paper titled 'Applications of llms in legal document analysis' by M. Garcia and A. Thompson in the Journal of Legal Technology (2024) yielded no results. Additionally, there is no evidence of a journal named 'Journal of Legal Technology' existing, suggesting the reference is fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'Applications of llms in legal document analysis' by M. Garcia and A. Thompson in the Journal of Legal Technology (2024) yielded no results. Additionally, there is no evidence of a journal named 'Journal of Legal Technology' existing, suggesting the reference is fabricated."",
  ""confidence"": ""high""
} ",765,119,0.028103,4.854,1,"[""Applications of llms in legal document analysis M. Garcia A. Thompson Journal of Legal Technology 2024""]",,False,,
20,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Ascending-Price Algorithms for Unknown Markets' authored by Xiaohui Bei, Jugal Garg, and Martin Hoefer, published in ACM Transactions on Algorithms in 2019. The DOI 10.1145/3319394 correctly resolves to this paper. The arXiv ID is missing, but an earlier version of the paper is available on arXiv with ID 1507.04925. All provided details are consistent and accurate.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Ascending-Price Algorithms for Unknown Markets' authored by Xiaohui Bei, Jugal Garg, and Martin Hoefer, published in ACM Transactions on Algorithms in 2019. The DOI 10.1145/3319394 correctly resolves to this paper. The arXiv ID is missing, but an earlier version of the paper is available on arXiv with ID 1507.04925. All provided details are consistent and accurate."",
  ""confidence"": ""high""
} ",824,168,0.02874,4.398,1,"[""Ascending-Price Algorithms for Unknown Markets Xiaohui Bei J. Garg M. Hoefer ACM Trans. Algorithms 2019 DOI 10.1145/3319394""]",,False,,
21,neurips,fabricated,fabricated,fabricated,"A search for the paper titled 'Diffsound: Differential sound manipulation with a few-shot supervision' by the listed authors in the CVPR Workshops 2021 proceedings yielded no results. Additionally, there is no record of such a paper in other academic databases, suggesting that the reference is fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'Diffsound: Differential sound manipulation with a few-shot supervision' by the listed authors in the CVPR Workshops 2021 proceedings yielded no results. Additionally, there is no record of such a paper in other academic databases, suggesting that the reference is fabricated."",
  ""confidence"": ""high""
} ",828,131,0.02838,6.627,1,"[""Diffsound: Differential sound manipulation with a few-shot supervision Jeongseung Park, Minseon Yang, Minz Won Park, Geonseok Lee CVPR Workshops 2021""]",,False,,
22,neurips,fabricated,fabricated,fabricated,"The reference claims a 2022 publication in 'Quantum' titled 'NP-Hardness of Optimal TensorNetwork Contraction and Polynomial-Time Algorithms for Tree Tensor Networks' by Mihail Stoian, Richard Milbradt, and Christian Mendl. However, no such publication exists. Instead, the authors published a paper titled 'On the Optimal Linear Contraction Order of Tree Tensor Networks, and Beyond' in the SIAM Journal on Scientific Computing in 2024. The title, venue, and year in the provided reference are incorrect.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference claims a 2022 publication in 'Quantum' titled 'NP-Hardness of Optimal TensorNetwork Contraction and Polynomial-Time Algorithms for Tree Tensor Networks' by Mihail Stoian, Richard Milbradt, and Christian Mendl. However, no such publication exists. Instead, the authors published a paper titled 'On the Optimal Linear Contraction Order of Tree Tensor Networks, and Beyond' in the SIAM Journal on Scientific Computing in 2024. The title, venue, and year in the provided reference are incorrect."",
  ""confidence"": ""high""
} ",789,176,0.028733,5.731,1,"[""NP-Hardness of Optimal TensorNetwork Contraction and Polynomial-Time Algorithms for Tree Tensor Networks Mihail Stoian Richard Milbradt Christian Mendl Quantum 2022""]",,False,,
23,neurips,fabricated,fabricated,fabricated,"The paper titled 'Generative adversarial networks for hyper-realistic avatar creation' by Min-Jun Lee and Soo-Young Kim, purportedly presented at CVPR 2022 with DOI 10.1109/CVPR.2022.001234, does not appear in the official CVPR 2022 proceedings. Additionally, the provided DOI does not resolve to any valid document, and the URL 'https://ieeexplore.ieee.org/document/00123' leads to a non-existent page. These inconsistencies indicate that the reference is fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The paper titled 'Generative adversarial networks for hyper-realistic avatar creation' by Min-Jun Lee and Soo-Young Kim, purportedly presented at CVPR 2022 with DOI 10.1109/CVPR.2022.001234, does not appear in the official CVPR 2022 proceedings. Additionally, the provided DOI does not resolve to any valid document, and the URL 'https://ieeexplore.ieee.org/document/00123' leads to a non-existent page. These inconsistencies indicate that the reference is fabricated."",
  ""confidence"": ""high""
} ",842,187,0.028975,5.179,1,"[""Generative adversarial networks for hyper-realistic avatar creation Min-Jun Lee Soo-Young Kim CVPR 2022 DOI 10.1109/CVPR.2022.001234""]",,False,,
24,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Coherent perfect absorption in one-sided reflectionless media' authored by Jin-Hui Wu, M. Artoni, and G. C. La Rocca, published in Scientific Reports in 2016. The DOI 10.1038/srep35356 correctly resolves to this paper. The arXiv ID is missing, but all other details are accurate and consistent.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Coherent perfect absorption in one-sided reflectionless media' authored by Jin-Hui Wu, M. Artoni, and G. C. La Rocca, published in Scientific Reports in 2016. The DOI 10.1038/srep35356 correctly resolves to this paper. The arXiv ID is missing, but all other details are accurate and consistent."",
  ""confidence"": ""high""
} ",816,152,0.02856,5.581,1,"[""Coherent perfect absorption in one-sided reflectionless media Jin-Hui Wu M. Artoni G. C. Rocca DOI 10.1038/srep35356""]",,False,,
25,s2_real,valid,valid,valid,"The reference describes Chapter 10, 'Smoothing Effect in Quasilinear Wave Equations,' authored by H. Bahouri, J.-Y. Chemin, and R. Danchin, in the book 'Fourier Analysis and Nonlinear Partial Differential Equations' published in 2011. The DOI 10.1007/978-3-642-16830-7_9 corresponds to this chapter, confirming the accuracy of the title, authors, year, and DOI. The venue is the book itself, and the arXiv ID is not applicable.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes Chapter 10, 'Smoothing Effect in Quasilinear Wave Equations,' authored by H. Bahouri, J.-Y. Chemin, and R. Danchin, in the book 'Fourier Analysis and Nonlinear Partial Differential Equations' published in 2011. The DOI 10.1007/978-3-642-16830-7_9 corresponds to this chapter, confirming the accuracy of the title, authors, year, and DOI. The venue is the book itself, and the arXiv ID is not applicable."",
  ""confidence"": ""high""
} ",815,194,0.028978,6.905,1,"[""Smoothing Effect in Quasilinear Wave Equations H. Bahouri J. Chemin R. Danchin DOI 10.1007/978-3-642-16830-7_9""]",,False,,
26,neurips,fabricated,fabricated,fabricated,"The reference contains multiple inaccuracies: the title 'Deepfm: a factorization-machine based neural network for ctr prediction' is associated with authors Huifeng Guo, Ruiming Tang, Yunming Ye, Zhenguo Li, and Xiuqiang He, not Diederik P. Kingma and Jimmy Ba. Additionally, the paper was published in 2017 at the International Joint Conference on Artificial Intelligence (IJCAI), not in 2015 at the International Conference on Learning Representations.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference contains multiple inaccuracies: the title 'Deepfm: a factorization-machine based neural network for ctr prediction' is associated with authors Huifeng Guo, Ruiming Tang, Yunming Ye, Zhenguo Li, and Xiuqiang He, not Diederik P. Kingma and Jimmy Ba. Additionally, the paper was published in 2017 at the International Joint Conference on Artificial Intelligence (IJCAI), not in 2015 at the International Conference on Learning Representations."",
  ""confidence"": ""high""
} ",777,159,0.028533,3.842,1,"[""Deepfm: a factorization-machine based neural network for ctr prediction Diederik P. Kingma Jimmy Ba""]",,False,,
27,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Upgrading Mobile Network to 5G: The Technoeconomic Analysis of Main Cities in Indonesia' authored by A. Kusuma and M. Suryanegara, presented at the 2019 16th International Conference on Quality in Research (QIR): International Symposium on Electrical and Computer Engineering. The DOI 10.1109/QIR.2019.8898260 correctly resolves to this paper, confirming the accuracy of the citation details.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Upgrading Mobile Network to 5G: The Technoeconomic Analysis of Main Cities in Indonesia' authored by A. Kusuma and M. Suryanegara, presented at the 2019 16th International Conference on Quality in Research (QIR): International Symposium on Electrical and Computer Engineering. The DOI 10.1109/QIR.2019.8898260 correctly resolves to this paper, confirming the accuracy of the citation details."",
  ""confidence"": ""high""
} ",895,148,0.028717,5.491,1,"[""10.1109/QIR.2019.8898260""]",,False,,
28,s2_real,valid,valid,valid,"The reference describes a doctoral thesis by Chen Yan titled 'Multifunctional Plasmonic Metasurfaces for Novel Spectral and Spatial Applications,' completed in 2017 at EPFL. The DOI 10.5075/EPFL-THESIS-7941 corresponds to this thesis, confirming its existence and the accuracy of the provided information.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a doctoral thesis by Chen Yan titled 'Multifunctional Plasmonic Metasurfaces for Novel Spectral and Spatial Applications,' completed in 2017 at EPFL. The DOI 10.5075/EPFL-THESIS-7941 corresponds to this thesis, confirming its existence and the accuracy of the provided information."",
  ""confidence"": ""high""
} ",796,120,0.02819,5.029,1,"[""10.5075/EPFL-THESIS-7941""]",,False,,
29,iclr2026,fabricated,fabricated,fabricated,"The reference provides an incorrect author list for the paper titled 'FP6-LLM: Efficiently Serving Large Language Models Through FP6-Centric Algorithm-System Co-Design' (arXiv:2401.14112). The actual authors are Haojun Xia, Zhen Zheng, Xiaoxia Wu, Shiyang Chen, Zhewei Yao, Stephen Youn, Arash Bakhtiari, Michael Wyatt, Donglin Zhuang, Zhongzhu Zhou, Olatunji Ruwase, Yuxiong He, and Shuaiwen Leon Song. Additionally, the title in the reference is slightly altered from the original.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference provides an incorrect author list for the paper titled 'FP6-LLM: Efficiently Serving Large Language Models Through FP6-Centric Algorithm-System Co-Design' (arXiv:2401.14112). The actual authors are Haojun Xia, Zhen Zheng, Xiaoxia Wu, Shiyang Chen, Zhewei Yao, Stephen Youn, Arash Bakhtiari, Michael Wyatt, Donglin Zhuang, Zhongzhu Zhou, Olatunji Ruwase, Yuxiong He, and Shuaiwen Leon Song. Additionally, the title in the reference is slightly altered from the original."",
  ""confidence"": ""high""
} ",805,191,0.028923,5.222,1,"[""Fp6-llm: Efficient llm serving through fp6-centric co-design arXiv:2401.14112""]",,False,,
