target_paper_title,year,citation_excerpt,source_paper_title,source_year
Fault prediction in aircraft engines using Self-Organizing Maps,2019,"In another study, [CITATION] used SOM to visualize an aircraft engine health evolution based on preprocessed data through a General Linear Model (GLM).","A Review on Gas Turbine Gas-Path Diagnostics: State-of-the-Art Methods, Challenges and Opportunities",2019
"Are you going to the party: depends, who else is coming? [Learning hidden group dynamics via conditional latent tree models]",2015,"In another article, [CITATION] developed a latent tree structure over KCs and predicted student learning. For doing that, they introduced a parametric model class, the Conditional Latent Tree Model (CLTM), which takes into account different factors for predicting high-dimensional time series.",Prediction in MOOCs: A Review and Future Research Directions,2018
Uncertainty-based Rejection Wrappers for Black-box Classifiers,2020,"[CITATION] analyzes the relationship between calibration and uncertainty estimation for NLP problems, verifying that previous calibration of the inputs does not have a big impact on estimation of the corresponding uncertainty.",A Survey on Uncertainty Estimation in Deep Learning Classification Systems from a Bayesian Perspective,2021
THE LAPLACIAN SPECTRAL CLASSIFIER,2005,"A new classifier based on the so-called Laplacian matrix and the CS divergence was presented at the ICASSP 2005 conference [CITATION], and was shown to produce very promising results.",The Cauchy–Schwarz divergence and Parzen windowing: Connections to graph theory and Mercer kernels,2006
Classifying Refugee Status Using Common Features in EMR,2022,"The method of using language, local resettlement data, and geographic location, has been validated for prediction of refugee status [CITATION].",COVID-19 in Patients with a Primary Refugee-Associated Language in a Kentucky Emergency Department During 2020,2022
Multi-Class Pegasos on a Budget,2010,"Another popular approach consists in using a polynomial kernel so as to implicitly map the data via the kernel trick. The main advantage of this approach is that the number of parameters to estimate in the model is actually independent of d and m. However, the cost of storing and evaluating the model is now proportional to the number of training instances. This is sometimes called the curse of kernelization [CITATION].",Polynomial Networks and Factorization Machines: New Insights and Efficient Training Algorithms,2016
Prediction of Different Types of Mobile Phone Prices based on Machine Learning Models,2024,"Few studies directly compare linear regression with non-linear models like KNN in the context of smartphone pricing. [CITATION] benchmarks the two methods, identifying scenarios where each performs better and discussing their limitations.",Smartphone Price Prediction and Category Classification Using Machine Learning,2025
Optimized ensemble deep learning framework for scalable forecasting of dynamics containing extreme events,2021,"El Niño dataset, also known as ENSO, is a periodic fluctuation of sea surface temperature (SST) across the Pacific Ocean [CITATION]. El Niño dataset contains 1634 weekly observations of SST in El Nino region 1 across the Pacific Ocean, from January 3, 1990 to April 21, 2021.",Knowledge-based Deep Learning for Modeling Chaotic Systems,2022
A Neural Network Architecture Combining Gated Recurrent Unit (GRU) and Support Vector Machine (SVM) for Intrusion Detection in Network Traffic Data,2017,[CITATION] present an amendment to this norm by introducing a linear support vector machine (SVM) as the replacement for Softmax in the final output layer of a GRU model.,Machine learning and deep learning methods for cybersecurity,2018
Simultaneous Extraction of Intra-and Inter-Cycle Features for Predicting Lithium-Ion Battery's Knees Using Convolutional and Recurrent Neural Networks,2024,"Recent advancements in time-series data representation, exemplified in the context of predicting the remaining useful life of lithium-ion batteries, showcase the advantages of arranging voltage, current, and temperature profiles from early charge/discharge cycles in this manner. This configuration enables the training of a 2-D CNN or a hybrid model combining CNN with recurrent neural network (RNN), demonstrating marked improvements and benefits in model interpretability and data requirement [CITATION].",Machine learning in process systems engineering: Challenges and opportunities,2023
Boltzmann machines and energy-based models,2017,"In the latter, they give rise to energy based models, such as restricted Boltzmann machines (RBMs) or deep Boltzmann machines (DBMs) [CITATION], where one is interested in the Boltzmann distribution, which describes the behavior of the spin model at thermal equilibrium. This probability distribution is parameterized by couplings that represent interactions between spins.",Universal Spin Models are Universal Approximators in Machine Learning,2025
Online Clustering by Penalized Weighted GMM,2019,"Grouping the IoT users into different clusters could be an effective solution, which deals with the IoT users separately according to their different demands on computation offloading in different clusters. This can be achieved by using the clustering algorithms which classify data points into different clusters, and the data points in the same cluster have similar characteristics while they are different from data points in the other clusters [CITATION].",Resource Allocation With Edge Computing in IoT Networks via Machine Learning,2020
BAYESIAN OPTIMIZATION USING HAMILTONIAN DYNAMICS FOR SPARSE ARTIFICIAL NEURAL NETWORKS,2022,"MMeLU necessitates a reduced number of parameters for estimation compared to MeLU, and it is optimized through a Bayesian framework known for its precision and rapid convergence [CITATION]",Fully Automatic Bayesian Method for Trainable Activation Function and Deep Neural Networks,2023
Can neural networks do better than the Vapnik-Chervonenkis bounds?,1990,"His theory fails to explain the success of recent learning models, such as neural networks, as presented in [CITATION], where practical learning rates can be much faster than the ones predicted by the VC theory.","
Error Exponent in Agnostic PAC Learning",2024
Unlearning From Weakly Supervised Learning,2024,"In multi-class classification, each instance is equipped with a relevant label. Similar to MLL problems, collecting high-quality labeled data is hard in multi-class learning [CITATION].",Multi-Label Learning With Multiple Complementary Labels,2025
Enhancing Spam Detection Using Hybrid of Harris Hawks and Firefly Optimization Algorithms,2024,"Building on this, [CITATION] introduced hybrid approaches that combined the FA with Harris Hawks Optimization (HHO). Their research showed that such combinations outperform single-algorithm approaches, with the Extra Trees classifier achieving 99.83% accuracy. This hybridization utilized the FA’s strong local search properties and HHO’s efficient global search, allowing for a more complex balance than either could achieve independently.",Quantum-Inspired Hybrid Metaheuristic Feature Selection with SHAP for Optimized and Explainable Spam Detection,2025
Functional Indirection Neural Estimator for Better Out-of-distribution Generalization,2022,"Recently, [CITATION] proposed FINE, which is a fast-weight approach that utilizes indirection on functional spaces and has achieved promising performances on different OOD testing scenarios of IQ problems.",Improving out-of-distribution generalization with indirection representations,2023
Personalized Federated Learning through Local Memorization,2022,kNN-Per [CITATION] is a personalized mechanism based on local memory that combines memory technology with neural networks.,A Review of Federated Learning Methods in Heterogeneous Scenarios,2024
Nonlinear Sufficient Dimension Reduction with a Stochastic Neural Network,2022,"By comparison, stochastic neural networks leverage probability and statistics for sufficient dimension reduction [CITATION].",Enhancing solar radiation predictions through COA optimized neural networks and PCA dimensionality reduction,2024
Generation of synthetic data with Conditional Generative Adversarial Networks,2022,[CITATION] came up with Conditional GAN that was used for the analysis of classification tasks for the credit card data set.,"
Comprehensive Review of Privacy, Utility, and Fairness Offered by Synthetic Data",2025
Principal Component Analysis with Weighted Sparsity Constraint,2010,"In PCA, the signal is decomposed based on orthogonality criterion, and then artifact is removed according to the contribution of each component. This method performs much better than artifact abstraction. But only the covariance matrix of signal is considered here, and high order redundant information may remain in the decomposed components [CITATION].",Automatic Removal of Ocular Artifact from EEG with DWT and ICA Method,2013
An application of logistic model tree (LMT) algorithm to ameliorate Prediction accuracy of meteorological data,2021,"A Logistic Model Tree (LMT) [CITATION] is an effective tool for detecting diabetic retinopathy (DR), as it merges the interpretability of decision trees with the predictive strength.",Automated diabetic retinopathy detection using a multi-step framework with stacked ensemble-based classification model,2025
Decision trees for ordinal classification,2000,"In the construction of decision trees, a splitting rule based on a selected attribute and a splitting point should be considered in advance as it is used to generate partitions in each node [CITATION].",A Pearson’s correlation coefficient based decision tree and its parallel implementation,2018
Cryptocurrency Financial Risk Analysis Based on Deep Machine Learning,2022,"To accurately predict the digital decision-making currency and reduce its operational risk, an improved deep neural network algorithm (DNN) is adopted, which uses information such as transactions and monetary returns to extract the relevant characteristics of Bitcoin to estimate and predict the price of Bitcoin, thus contributing to better e-commerce decision-making and reducing financial risk [CITATION].",Research on Supply Chain Financial Risk Prevention Based on Machine Learning,2023
DiffPrune: Neural Network Pruning with Deterministic Approximate Binary Gates and L 0 Regularization,2020,Another deterministic approximation to binary gating of element-wise parameters [CITATION] also needs gradient descent to minimize the predictions of a targeted network.,Neural Network Structure Optimization by Simulated Annealing,2022
Safety Alignment Should Be Made More Than Just a Few Tokens Deep,2024,"One can block any jailbreak template that includes a list of suspicious rules that tell the LLM to start their responses from some phrase. Also, there are ideas in the literature how to fix the vulnerability to prefilling attacks via basic data augmentation [CITATION].",Jailbreaking Leading Safety-Aligned LLMs with Simple Adaptive Attacks,2025
Towards More Practical Adversarial Attacks on Graph Neural Networks,2020,"[CITATION] proposed a novel setup for black-box attacks on GNNs, representing one of the most practical approaches available at that time. By exploring the structural inductive biases of GNNs, which can be leveraged for adversarial black-box attacks, they introduced a practical greedy method for adversarial attacks targeting node classification tasks.","
Graph Neural Networks for Next-Generation-IoT: Recent Advances and Open Challenges",2025
Crop Yield Prediction Using Improved Random Forest,2023,[CITATION] introduces an enhanced Random Forest in a hybrid method for precise agricultural yield estimation.,A Comparative Analysis of Different Machine Learning Approaches for Crop Yield Prediction,2024
When is Multicalibration Post-Processing Necessary?,2024,"Recently, [CITATION] conducted a systematic investigation of multicalibration in practice, analyzing the utility of algorithms for multicalibration on a number of real-world datasets, prediction models, and demographic subgroups.",When does a predictor know its own loss?,2025
Evaluating algorithmic fairness in the presence of clinical guidelines: the case of atherosclerotic cardiovascular disease risk estimation,2022,"Furthermore, if a model satisfies sufficiency, a single-threshold decision rule informally corresponds to an equal treatment condition across subgroups with respect to the conditional probability of the outcome given the predicted score, such that violation of sufficiency implies different implicit thresholds across subgroups [CITATION]",A Causal Perspective On Label Bias,2024
Anomaly Detection using Deep Reconstruction and Forecasting for Autonomous Systems,2020,"[CITATION] addressed two sensor modalities, i.e., IMU data and video data, for anomaly detection. For IMU data, the authors developed an LSTM-based forecaster to predict the next IMU vector using the previous three ones, and those with prediction errors greater than a threshold were classified as anomalies. For video data, conditional GAN (cGAN) was introduced to generate the present frame using the immediate-past three frames, and the generated frame would be compared with the real frame for anomaly detection.",Anomaly diagnosis of connected autonomous vehicles: A survey,2024
Forecasting of Vannamei Shrimp Production Based on Weather Factors Using Radial Basis Function Neural Network Approach,2019,Radial basis function neural networks also applied to predict the biomass of South American L. vannamei by considering weather factors [CITATION].,Machine learning approach for predicting ovarian maturation in Penaeus monodon,2025
A Hybrid Fuzzy Maintained Classification Method Based on Dendritic Cells,2020,"[CITATION] proposed a hybrid fuzzy classification method based on dendritic cells, which integrates biological processes to improve classification outcomes.",Gaussian Aggregation Operators and Applications to Intuitionistic Fuzzy Classification,2025
SapAugment: Learning A Sample Adaptive Policy for Data Augmentation,2021,In SaPAugment [CITATION] propose a so-called sample-adaptive policy that dynamically adapts transformation parameters according to the training loss.,Data augmentation with automated machine learning: approaches and performance comparison with classical data augmentation methods,2025
Benchmarking Automated Machine Learning Methods for Price Forecasting Applications,2023,"AutoML is an end-to-end approach for building ML applications, which aims to improve the iteration speed of and reduce the required knowledge for building ML pipelines via full or partial automation and encapsulation of algorithmic implementation details. This enables domain experts to create functioning first-draft ML pipelines, as well as increases efficiency of ML researchers and developers by automating tedious tasks like hyperparameter optimization (HPO) [CITATION].",Bringing Quantum Algorithms to Automated Machine Learning,2023
Augmentation and classification of motor imagery electroencephalogram signals for human-robot collaborative disassembly,2024,"A DCGAN-based data augmentation method [CITATION] is illustrated to enhance MI-EEG signals, facilitating human-robot collaboration in disassembly and contributing to smart manufacturing and sustainability.",AIGC-empowered smart manufacturing: Prospects and challenges,2025
An Analysis of Ensemble Sampling,2022,"Theoretical understanding of ensemble sampling has lagged behind, even for the linear bandit problem, with previous results revealing suboptimal outcomes. For instance, a prior work [CITATION] demonstrated that linear ensemble sampling could achieve O(√T) Bayesian regret with an ensemble size growing at least linearly with T.",Improved Regret of Linear Ensemble Sampling,2024
Bandits on Graphs and Structures,2016,"Consider the viral marketing problem, where a decision maker wants to find the user with the maximum influence in an online social network (e.g., Facebook) to offer a promotion [CITATION]. Each time the decision maker offers a promotion to a user, it also has an opportunity to survey the user’s neighbors in the network regarding their potential interest in the same offer.",Analysis of Thompson Sampling for Graphical Bandits Without the Graphs,2018
Exploration in Linear Bandits with Rich Action Sets and its Implications for Inference,2023,"[CITATION] show that the data collected by sublinear algorithms organically satisfies a minimum eigenvalue lowerbound, which may also be sufficient for model selection.",Anytime Model Selection in Linear Bandits,2023
GFlowOut: Dropout with Generative Flow Networks,2023,"One open challenge on the modeling side is to leverage GFlowNets to model Bayesian posteriors beyond causal models. [CITATION] take an initial step in this direction, using GFlowNets to model the posterior over dropout masks in a neural network.",GFlowNets for AI-driven scientific discovery,2023
Wasserstein Variational Inference,2018,"Other applications have been utilizing OT in mappings between distributions; more specifically, a recent paper was published on using Wasserstein’s metric in variational inference, which lies at the heart of ML [CITATION].",A Survey on Optimal Transport for Machine Learning: Theory and Applications,2025
Riemannian Stein Variational Gradient Descent for Bayesian Inference,2018,"In [CITATION], a general model to perform Bayesian inference in Riemannian Manifolds is proposed. Following other Stein-related approaches, the method does not explicitly define a posterior density but approximates it with a number of particles.",Hyperspherical Variational Auto-Encoders,2022
Bayesian Structure Learning with Generative Flow Networks,2022,"[CITATION] use a GFlowNet for structure learning; the GFlowNet produces samples that approximates the true posterior over causal graphs given a dataset. Their method works on both observational and interventional data, and compares favorably to MCMC- and variational inference-based methods",GFlowNet Foundations,2023
Robust Discriminative Clustering with Sparse Regularizers,2017,"In the study of discriminative clustering, [CITATION] proposes a convex program over semi-definite matrices. Under certain statistical models, the authors prove guarantees when n = Ω( ˜ d 2 ) and numerically show the phase transition at n  d2.",Clustering a mixture of Gaussians with unknown covariance,2021
The Area Under the ROC Curve as a Measure of Clustering Quality,2022,"The area under the receiver operating characteristic curve (AUC) provides a comprehensive view of the performance across thresholds and due to the information density of the AUC, it is considered the gold standard of evaluation metrics for this model type [CITATION]",Harnessing machine learning for EEG signal analysis: Innovations in depth of anaesthesia assessment,2024
Ensemble-driven support vector clustering: From ensemble learning to automatic parameter estimation,2016,"[CITATION] discussed the problem of setting the kernel and the trade-off parameters (q and C) manually using trial and error strategy, and how to properly select them.",Support vector machine based clustering: A review,2022
Efficient Discrete Clustering With Anchor Graph,2023,Anchor-based graph construction is based on two principal approaches [CITATION] fixed methods with preset rules and adaptive techniques that dynamically determine connection strengths,A Comprehensive Survey on Spectral Clustering with Graph Structure Learning,2025
"Hierarchical clustering: visualization, feature importance and model selection",2023,"Hierarchical clustering can form a hierarchical map of class similarity, which makes it easy to intuitively determine the division between classes and obtain a more desirable classification [CITATION]. ",Assessment of fish health status for waterless transportation based on image features and deep learning models,2025
Assessing the Robustness of Cluster Solutions in Emotionally-Annotated Pictures Using Monte-Carlo Simulation Stabilized K-Means Algorithm,2021,"Mages are widely used by researchers from cognitive science, psychology, neuroscience, and interdisciplinary studies as an effective delivery method for evoking emotions and human responses [CITATION]",The Impact of Visual Stimuli and Properties on Restorative Effect and Human Stress: A Literature Review,2022
Projective Robust Nonnegative Factorization,2016,[CITATION] proposed projective robust nonnegative factorization (PRNF) for robust image feature extraction and classification.,Low-Rank Sparse Preserving Projections for Dimensionality Reduction,2023
Concept Drift Learning and Its Application to Adaptive Information Filtering,2003,"Algorithms of CVFDT and UFFT adopt a single sliding window mechanism to detect concept drifts in the local structure of the classifier. This mechanism has the following limitation: if the size of the window is large, the model has slower adaptation to a new target, and if the value of the window is small, the instances are insufficient for learning [CITATION]. ",A Double-Window-Based Classification Algorithm for Concept Drifting Data Streams,2010
Length Optimization in Conformal Prediction,2024,"[CITATION] design a framework to minimize the size (“length,” in their terminology) of conformal sets, which they apply to MCQ as well as to supervised learning problems. However, their framework is concerned with how to generate sets given a model and a conformity score, rather than how to learn a conformity score.","Prune ’n Predict: Optimizing LLM Decision-making with
Conformal Prediction",2025
Learn the Time to Learn: Replay Scheduling in Continual Learning,2022,[CITATION]propose a Monte Carlo tree search approach for memory replay.,Leitner-Guided Memory Replay for Cross-lingual Continual Learning,2024
Training Networks in Null Space of Feature Covariance for Continual Learning,2021,Adam-NSCL [CITATION] instead projects candidate parameter updates into the current null space approximated by the uncentered feature covariance of the old tasks,"A Comprehensive Survey of Continual Learning: Theory, Method and Application",2024
Probabilistic Embeddings for Cross-Modal Retrieval,2021,[CITATION] extended HIB to the joint embedding space of image and text and solved a cross-modal retrieval problem,Probabilistic Concept Bottleneck Models,2023
Towards Efficient Tensor Decomposition-Based DNN Model Compression with Optimization Framework,2021,"Techniques like canonical polyadic decomposition (CPD) or tucker decomposition are used, which factorize a tensor into a set of smaller tensors [CITATTION].","A comprehensive review of model compression techniques in machine
learning",2024
Dynamically updated diversified ensemble-based approach for handling concept drift,2020,"[CITATION] proposed an ensemble online multiple DDM (En-ODDD), which uses a dynamically updated ensemble to speed up the adaptability to changing distributions. This method uses online drift detection and pruning technologies in a variety of adaptive environments, and at the same time, through the ensemble of multiple experts embedded with a drift detector, it ensures a timely response to concept drift.",A survey of active and passive concept drift handling methods,2022
MaxDropout: Deep Neural Network Regularization Based on Maximum Output Values,2021,"While the standard dropout randomly drops the neuron from the training process, MaxDropout [CITATION] deactivated the neuron’s calculation from their activations.",A Review on Dropout Regularization Approaches for Deep Neural Networks within the Scholarly Domain,2023
Modified Autoencoder Training and Scoring for Robust Unsupervised Anomaly Detection in Deep Learning,2020,"Our approach differs in that, instead of basing our predictions on the reconstruction error of a single input, which has been shown in [CITATION] to be an unreliable indicator in the unsupervised context, we consider a sequence of input images from the same location and score them based on their distance in the VAE’s latent space.",RaVÆn: unsupervised change detection of extreme events using ML on-board satellites,2022
1DCNN Fault Diagnosis Based on Cubic Spline Interpolation Pooling,2020,"For 1D signals, the 1D CNN is preferable due to its low computational complexity, its ability to learn difficult tasks involving 1D signals, and its suitability for real-time applications using low computational processors [CITATION]. ",Lithium-ion battery state of health estimation using a hybrid model based on a convolutional neural network and bidirectional gated recurrent unit,2024
UNDERSTANDING DEEP LEARNING REQUIRES RE-THINKING GENERALIZATION,2016,Even random label can cause deep neural networks to over-fit and affect the test performance very bad [CITATION]. ,A survey on deep learning and its applications,2021
Explaining Naïve Bayes Classifications,2003,[CITATION] proposed a visualization-based explanation framework for Naive Bayes classifiers.,Explanation and Justification in Machine Learning: A Survey,2017
Towards a Theory of Faithfulness: Faithful Explanations of Differentiable Classifiers over Continuous Data,2022,"EW-QBAFs can be applied in various domains. For example, some neural networks can be understood as EW-QBAFs, with neurons as arguments, biases as base scores, connections as relations, and connection weights as edge weights [CITATION].",Contestability in Quantitative Argumentation,2025
Exploiting auto-encoders and segmentation methods for middle-level explanations of image classification systems,2022,"State-of-the-art post hoc explainers have demonstrated their capabilities in approximating task models and elucidating input-output relationships. However, they often lack the ability to adapt explanations to the diverse needs and contexts of various stakeholders [CITATION].",Leveraging Context-Sensitivity for User-Centered Explainability,2025
Improving the Fairness of Deep Generative Models without Retraining,2020,[CITATION] manipulate the latent space of GANs to generate balanced outputs,Balancing Act: Distribution-Guided Debiasing in Diffusion Models,2024
Simple and Fast Distillation of Diffusion Models,2024,"These methods accelerate diffusion models by re-training or fine-tuning the entire DM. One category is trajectory distillation, which trains a student model to imitate the teacher’s trajectory with fewer steps [CITATION].",Distilling parallel gradients for fast ode solvers of diffusion models,2025
Lie Group Auto-Encoder,2019,[CITATION] proposed a Lie group automatic encoder for generating samples from the training data distribution and mapping the inputs to potential representations.,Person Re-Identification via Group Symmetry Theory,2019
Low Dimensional Invariant Embeddings for Universal Geometric Learning,2024,Recent work by [CITATION] highlights 9 Equivariance via Minimal Frame Averaging for More Symmetries and Efficiency such discontinuities as a limiting factor for frame averaging methods. ,Equivariance via Minimal Frame Averaging for More Symmetries and Efficiency,2024
Missing Data Estimation in Temporal Multilayer Position-Aware Graph Neural Network (TMP-GNN),2022,[CITATION] presented a node embedding position-aware GNN approach for dynamic graphs that incorporates temporal relations interdependence into embedding computation. ,PO-GNN: Position-observant inductive graph neural networks for position-based prediction,2023
Strong Transitivity Relations and Graph Neural Networks,2024,"By considering two levels of transitivity relations between nodes, weak and strong transitivity relations [CITATION], we observe that strong transitivity can play a significant role in global similarity",Mitigating over-squashing in graph few-shot learning by leveraging local and global similarities,2025
Poisson Kernel Avoiding Self-Smoothing in Graph Convolutional Networks,2022,[CITATION] proposed a Poisson kernel that avoids self-smoothing without training an adaptive kernel.,Graph neural network based on graph kernel: A survey,2025
Iterative Deep Graph Learning for Graph Neural Networks: Better and Robust Node Embeddings,2020,"According to the iterative learning procedure in [CITATION], finite differences can be applied to avoid oversmoothing phenomena. However, it should be noted that first-order differences may face the problem that a change in X could be small if all its nonzero elements are very close to 1. ",NSCKL: Normalized Spectral Clustering With Kernel-Based Learning for Semisupervised Hyperspectral Image Classification,2023
BlockGNN: Towards Efficient GNN Acceleration Using Block-Circulant Weight Matrices,2021,"BlockGNN [CITATION] aims to compress the update stage (feature transformation) of GNN models for GraphSage-Pool (GS-Pool), GCN, GGCN [90], and GAT that require a large weight memory, high computing resources, and high computing latency when the feature size is large. To achieve this, they leverage block-circulant weight matrices, which are configured in the form of block circulant matrices that can be accelerated by Fast Fourier Transform (FFT) and Inverse Fast Fourier Transform (IFFT)","A Survey on Graph Neural Network Acceleration: Algorithms, Systems, and Customized Hardware",2023
Commutative Lie Group VAE for Disentanglement Learning,2021,"[CITATION] propose an unsupervised DRL framework, named Commutative Lie Group VAE with a matrix Lie group and corresponding Lie algebra.",Disentangled Representation Learning,2024
Learning Under Adversarial and Interventional Shifts,2021,"When populations are heterogeneous, human input can additionally provide such functional assumptions at a higher level of granularity by drawing from existing clinical knowledge. If the estimated dynamics in models are unreliable or may shift across domains, domain knowledge about the amount of shift can improve the robustness of OPE estimates in practice [CITATION].",Generalizing Off-Policy Evaluation From a Causal Perspective For Sequential Decision-Making,2021
Certification of Model Robustness in Active Class Selection,2021,"Certification of AI has many forms such as (1) model certification [CITATION] in response to imbalanced, costconstrained, active, transfer, and quantified learning, among others.",Certifiable Artificial Intelligence Through Data Fusion,2021
Proof-of-Learning: Definitions and Practice,2021,It is possible for two models having same training set and initialization to have different weights [CITATION] due to training stochasticity and uncertainties in floating-point operations. ,A Survey of Machine Unlearning,2025
Exploring Self-Supervised Regularization for Supervised and Semi-Supervised Learning,2019,"For the semi-supervised learning problem, previous solutions have involved pretraining, proxy labeling, or proxy learning [CITATION]. In this study, rather than directly training on the predicted segmentation labels generated by our model on unlabeled data, we instead used a multi-task attention mechanism to separate the foreground and background of the input image, and then tasked the unsupervised autoencoder to reconstruct both the foreground and the background.",Segmentation of Intracranial Hemorrhage Using Semi-Supervised Multi-Task Attention-Based U-Net,2020
Deep Spiking Neural Network with Spike Count based Learning Rule,2019,Neural encoding is an important aspect of learning in a SNN [CITATION]. Finding appropriate encoding mechanisms for spiking activity and designing compatible learning algorithms for the encoding mechanisms are new challenges in the SNN field.,A review of learning in biologically plausible spiking neural networks,2020
Rethinking Spiking Neural Networks as State Space Models,2024,"[CITATION] combine stochastic spiking function at the output of yt. These spikinglized method can harvest the long sequence learning capability of SSMs models, but also retain nonlinear activation computation and FP matrix-vector multiplications, as they retain the A, B and C matrices during recurrent inference. ",PRF: PARALLEL RESONATE AND FIRE NEURON FOR LONG SEQUENCE LEARNING IN SPIKING NEURAL NETWORKS,2024
Learning Efficiently with Approximate Inference via Dual Losses,2010,"In other words, the learning and most-violated constraint problems are solved simultaneously, greatly reducing training time. For problems with non-tight duality gaps, e.g., MAP inference in general, discrete MRFs, [CITATION] showed that the same principle can be applied by using approximate inference algorithms like dual decomposition to bound the primal objective.",Hinge-Loss Markov Random Fields and Probabilistic Soft Logic,2017
Classification of Spam Emails through Hierarchical Clustering and Supervised Learning,2020,[CITATION] made the combined model of TF-IDF and SVM showed 95.39% F1- score and the fastest spam classification achieved with the help of the TF-IDF and NB approach,Universal Spam Detection using Transfer Learning of BERT Model,2022
Characterizing and Understanding the Generalization Error of Transfer Learning with Gibbs Algorithm,2022,"The benefits of transfer learning are inherently linked to a bias–variance trade-off: the bias arises from the source distribution, while the variance is influenced by the limited availability of target samples [CITATION]",Real-time Error Compensation Transfer Learning with Echo State Networks for Enhanced Wind Power Prediction,2025
BAN: Detecting Backdoors Activated by Adversarial Neuron Noise,2024,"BAN [CITATION] enhances backdoor detection by augmenting backdoor feature inversion with neuron activation information. By adversarially perturbing model weights to trigger backdoor effects, BAN enables efficient and accurate separation of benign and backdoored models.",Taught Well Learned Ill: Towards Distillation-conditional Backdoor Attack,2025
User-Level Membership Inference for Federated Learning in Wireless Network Environment,2021,"[CITATION] have provided a comprehensive analysis of active and targeted member inference attacks in an FL environment. The team then considered a more complex scenario, where the attacker can only passively observe updated models from different iterations,and incorporates generative adversary networks into the approach to enrich the training set of the final member inference model.",An overview of implementing security and privacy in federated learning,2024
T4V: Exploring Neural Network Architectures that Improve the Scalability of Neural Network Verification,2022,"For example, the work in [CITATION] explores which NN architectures lead to more scalable verification by identifying NN properties that improve verification and incentivizing these properties through a verification loss.",BERN-NN-IBF: Enhancing Neural Network Bound Propagation Through Implicit Bernstein Form and Optimized Tensor Operations,2024
Hard-ODT: Hardware-Friendly Online Decision Tree Learning Algorithm and System,2020,"In a nutshell, supervised learning refers to labels obtained from training datasets, whereas unsupervised learning refers to algorithms that employ labeled responses to explore datasets [CITATION].",A Remote Surveillance System Based on Artificial Intelligence for Animal Tracking Near Railway Track,2024
