id,source_paper_title,year,citation_excerpt,target_paper_title,target_paper_year
11,PLLA/PEO blend as self-curing material for a biodegradable Eustachian tube stent,2025,"""In some cases, high viscosity has been associated with reduced cell lengths and mobility, potentially leading to decreased overall viability if the mechanical environment becomes too restrictive [CITATION]""",Impact of Viscosity on Human Hepatoma Spheroids in Soft Core-Shell Microcapsules,2024
12,Effects of Medicinal Plants and Phytochemicals in Nrf2 Pathways during Inflammatory Bowel Diseases and Related Colorectal Cancer: A Comprehensive Review,2023,"""[CITATION] conducted an in vivo study with a dextran sulfate sodium (DSS)-treated mice model of colorectal cancer formation to evaluate the roles of Nrf2 in this cancer development. The results showed that Nrf2 knockout suppressed aggressive colorectal cancer formation development in DSS-induced animals.""",Nuclear Factor Erythroid 2-related Factor 2 Knockout Suppresses the Development of Aggressive Colorectal Cancer Formation Induced by Azoxymethane/Dextran Sulfate Sodium-Treatment in Female Mice,2021
13,Systems biology based miRNA–mRNA expression pattern analysis of Emodin in breast cancer cell lines,2016,"""Along with CDKN1A, GADD45A was associated with cell cycle arrest in MCF-7 [CITATION] and both genes were found out to be co-targets of hsa-miR-191–5p and hsa-miR-375.""",Inhibitory effect of isoamericanol A from Jatropha curcas seeds on the growth of MCF-7 human breast cancer cell line by G2/M cell cycle arrest,2016
14,Deciphering the Synthetic and Refolding Strategy of a Cysteine-Rich Domain in the Tumor Necrosis Factor Receptor (TNF-R) for Racemic Crystallography Analysis and d-Peptide Ligand Discovery,2023,"""In order to simplify the process of chemical receptor synthesis, it is possible to focus on preparing a smaller but functionally relevant domain of the protein, such as terminal protein fragments [CITATION]""",Development of an orally-administrable tumor vasculature-targeting therapeutic using annexin A1-binding D-peptides,2021
15,Biosynthesis of ZnO NPs from pumpkin seeds’ extract and elucidation of its anticancer potential against breast cancer,2022,"""FTIR analysis is one of the most reliable and sensitive methods to identify the biomolecules involved in the green synthesis of NPs from metal ions [CITATION]."" ",Green - synthesized silver nanoparticles with aqueous extract of green algae Chaetomorpha ligustica and its anticancer potential,2021
16,"Tumor angiogenesis: causes, consequences, challenges and opportunities",2019,"""EphB4-ephrinB2 signalling was also associated with increased tumor angiogenesis and tumor progression [CITATION]""",Interplay between EphB4 on tumor cells and vascular ephrin-B2 regulates tumor growth,2004
17,Cancer therapeutics using survivin BIRC5 as a target: what can we do after over two decades of study?,2019,"""The first study showed that the stability of SPC3042 in mouse plasma is similar to LY2181308, but SPC3042 exhibited higher potency for survivin mRNA inhibition compared with LY2181308 [CITATION].""",SPC3042: a proapoptotic survivin inhibitor,2008
18,Selective MCL-1 inhibitor ABBV-467 is efficacious in tumor models but is associated with cardiac troponin increases in patients,2023,"""In a panel of mouse leukemic cells engineered to be dependent on exogenously expressed human antiapoptotic BCL-2 family members45, ABBV-467 showed selective inhibition of the human MCL-1–expressing B-cell acute lymphoblastic leukemia variant [CITATION]""",Defining specificity and on-target activity of BH3-mimetics using engineered B-ALL cell lines,2016
19,Dual Faces of IFNγ in Cancer Progression: A Role of PD-L1 Induction in the Determination of Pro- and Antitumor Immunity,2016,"""In humans, IFNγ receptor α expression is lower in cases of infiltrating breast cancer than in cases of in situ tumors [CITATION].""",Influence of IFN-gamma and its receptors in human breast cancer,2007
20,Survivin (BIRC5) Peptide Vaccine in the 4T1 Murine Mammary Tumor Model: A Potential Neoadjuvant T Cell Immunotherapy for Triple Negative Breast Cancer: A Preliminary Study,2023,"""The survivin (SVN), also known as BIRC5, protein is an inhibitor of apoptosis and is overexpressed in many malignancies, including breast cancer stem cells and breast tumor tissue [CITATION]""",Basal-Type Breast Cancer Stem Cells Over-Express Chromosomal Passenger Complex Proteins,2020
21,The signaling landscape of insulin-like growth factor 1,2025,"""In breast cancer, IGF-1 triggers the STAT3-dependent transcriptional activation of the S100A7 gene through IGF-1R in adjacent endothelial cells and contributes to angiogenesis [CITATION]""",Activation of the S100A7/RAGE Pathway by IGF-1 Contributes to Angiogenesis in Breast Cancer,2021
22,STAT family of transcription factors in breast cancer: Pathogenesis and therapeutic opportunities and challenges,2022,"""Hyperactivation of STAT3 enriches expression of genes involved in cancer stemness (CD44) [CITATION]""",Constitutive Activation of STAT3 Signaling Regulates hTERT and Promotes Stem Cell-Like Traits in Human Breast Cancer Cells,2013
23,Preclinical and Clinical Trials of New Treatment Strategies Targeting Cancer Stem Cells in Subtypes of Breast Cancer,2023,"""Pranlukast, a drug used to treat asthma, works as an antagonist of CD49f. Pranlukast treatment decreased BC cell clonogenicity in the mammosphere formation assay, and also diminished CD44 and SOX2 expression, and tumorigenicity in vivo, showing that this drug reduces the CSC population in TNBC cells [CITATION].""",Pranlukast Antagonizes CD49f and Reduces Stemness in Triple-Negative Breast Cancer Cells,2020
24,Estrogen and pure antiestrogen fulvestrant (ICI 182 780) augment cell–matrigel adhesion of MCF-7 breast cancer cells through a novel G protein coupled estrogen receptor (GPR30)-to-calpain signaling axis,2014,"""This is further supported by another report that depletion of ERα increases the metastatic phenotype of breast cancer in mice [CITATION]""",Estrogen receptor alpha deletion enhances the metastatic phenotype of Ron overexpressing mammary tumors in mice,2012
25,Mechanisms of cancer stem cell therapy,2020,"""Evidence shows that CSCs can adjust the pathways and self-renewal of stem cells, which may play a role in tumorigenesis. Accordingly, cancer treatment can be achieved by examining cancer cell self-renewal pathways [CITATION]""",The Implications of Cancer Stem Cells for Cancer Therapy,2012
26,Polyploidy and Myc Proto-Oncogenes Promote Stress Adaptation via Epigenetic Plasticity and Gene Regulatory Network Rewiring,2022,"""A similar finding was reported with respect to polyploid melanoma cells generated by paclitaxel [CITATION]. These cells were found to overexpress c-Myc and reduce the expression of MAD2, an essential component of the molecular core of the spindle assembly checkpoint (SAC), indicating impairment of this checkpoint.""",Myc Prevents Apoptosis and Enhances Endoreduplication Induced by Paclitaxel,2009
27,Regulation of Src Family Kinases during Colorectal Cancer Development and Its Clinical Implications,2020,"""The expression of T-LAK cell-originated protein kinase (TOPK), which is reported to be involved in the progression of cancer, is upregulated in various cancers, including CRC, and is associated with poor clinical outcomes [CITATION]""",T-LAK cell-originated protein kinase (TOPK): an emerging target for cancer-specific therapeutics,2018
28,Upregulation and activation of p53 by erastin‑induced reactive oxygen species contribute to cytotoxic and cytostatic effects in A549 lung cancer cells,2018,"""DDR is responsible for inducing p53 post-transcriptionally, which is phosphorylated by activated ataxia telangiectasia mutated (ATM) kinase [CITATION], and prompted us to determine whether ROS induction of p53 is dependent on DDR and subsequent activation of phosphorylation.""",The ROS/JNK/ATF2 pathway mediates selenite-induced leukemia NB4 cell cycle arrest and apoptosis in vitro and in vivo,2013
29,NF-κB pathways in the development and progression of colorectal cancer,2018,"""Nuclear truncated IKK-α (p45-IKK-α) forms a complex with full-length IKK-α and NEMO and is responsible for regulating phosphorylation of SMRT and histone H3. This study provides evidence that p45-IKK-α results in diminished apoptosis in vitro and is required for CRC tumor growth in vivo [CITATION] """,A Truncated Form of IKKa Is Responsible for Specific Nuclear IKK Activity in Colorectal Cancer,2012
30,"Aurora Kinase A: Integrating Insights into Cancer, Inflammation, and Infectious Diseases",2024,"""Furthermore, AURKA overexpression may significantly elevate the expression of matrix metalloproteinases (MMP)-2, MMP-7, and MMP-10, resulting in the breakdown of extracellular matrix proteins and increased tumor cell motility and metastasis [CITATION]""",Aurora kinases are essential for PKC-induced invasion and matrix metalloproteinase-9 expression in MCF-7 breast cancer cells,2015
31,Insights into the role of connexins and specialized intercellular communication pathways in breast cancer: Mechanisms and applications,2024,"""In the non-neoplastic, human mammary epithelial HMT-3522 S1 cell line, Cx43 silencing led to a proliferative and proinvasive phenotype via non-canonical Wnt pathway, through enhanced ERK1/2 and Rho GTPase signalling [CITATION]""",Connexin 43 Loss Triggers Cell Cycle Entry and Invasion in Non-Neoplastic Breast Epithelium: A Role for Noncanonical Wnt Signaling,2019
32,Loss of AID exacerbates the malignant progression of CLL,2022,"""Another recent study compared mice transplanted with TCL1 and AID-deficient TCL1 CLL cells and reported that AID contributed to accelerated CLL progression [CITATION]."" ",AID Contributes to Accelerated Disease Progression in the TCL1 Mouse Transplant Model for CLL,2021
33,Oncogenic role and potential regulatory mechanism of topoisomerase IIα in a pan-cancer analysis,2022,"""The ceRNA network targeting TOP2A has significant effects on tumor occurrence and development in several tumor types. For instance, it has been reported that TOP2A is modulated by zinc finger protein 148 via miR-101, miR-144, miR-335 as well as miR-365 in the cell proliferation of colorectal cancer [CITATION]""",ZNF148 modulates TOP2A expression and cell proliferation via ceRNA regulatory mechanism in colorectal cancer,2017
34,Role of sex steroids in colorectal cancer: pathomechanisms and medical applications,2024,"""Furthermore, targeting the inhibition of PGRMC1 and NENF may hold therapeutic promise, with NENF’s role as a secreted protein suggesting its capacity to serve as a CRC-specific circulating biomarker [CITATION]""",New Insights on the Progesterone (P4) and PGRMC1/NENF Complex Interactions in Colorectal Cancer Progression,2023
35,Dual role of ANGPTL4 in inflammation,2023,"""DNA methylation-mediated downregulation of ANGPTL4 promotes colorectal cancer metastasis by activating the ERK pathway [CITATION].""",DNA methylation mediated down-regulation of ANGPTL4 promotes colorectal cancer metastasis by activating the ERK pathway,2021
36,Nanomedicine for cancer patient-centered care,2024,"""When paired with duplex sequencing that incorporates double-stranded DNA barcodes to prevent errors in sequencing, Cas9-mediated fragmentation allows for targeted sequencing of genomic regions even with very little DNA input (termed CRISPR-duplex sequencing, DS) [CITATION]""",Colorectal cancer is associated with the presence of cancer driver mutations in normal colon,2022
37,Role of long non-coding RNAs in metabolic reprogramming of gastrointestinal cancer cells,2024,"""HNF1A-AS1 regulates MYO6 expression and upregulates HK2 expression in CRC cells via sponge miR-124 to promote cellular glycolysis [CITATION].""","HNF1A-AS1 Regulates Cell Migration, Invasion and Glycolysis via Modulating miR-124/MYO6 in Colorectal Cancer Cells",2020
38,Kallikrein-Related Peptidase 6 (KLK6) as a Contributor toward an Aggressive Cancer Cell Phenotype: A Potential Role in Colon Cancer Peritoneal Metastasis,2022,"""Other genes, which were highly co-expressed with KLK6, were correlated with signal transduction, extracellular matrix organization, and cell communication pathways, which contribute to cell invasion and metastasis [CITATION].""",Molecular pathways associated with Kallikrein 6 overexpression in colorectal cancer,2021
39,Tumor-infiltrating lymphocytes for treatment of solid tumors: It takes two to tango?,2022,"""High frequency of T cells (CD4+ or CD8+) in CRC tissue TILs is associated with a lower risk of metastasis, significantly improved prognosis, reduced relapse rate, and longer DFS and OS [CITATION]""",Detailed analysis of inflammatory cell infiltration in colorectal cancer,2013
40,"Regulatory function of endoplasmic reticulum stress in colorectal cancer: Mechanism, facts, and perspectives",2025,"""The ERS-related gene scoring system forecasts the prognosis of diverse patients receiving immune checkpoint blockade therapy and identifies the zinc finger protein 703 (ZNF703) gene as a potent target for immunotherapy [CITATION].""",Characterization of endoplasmic reticulum stress unveils ZNF703 as a promising target for colorectal cancer immunotherapy,2023
41,"Metastatic hepatic carcinoma: Mechanisms, emerging therapeutics, and future perspectives",2025,"""This state often arises from the internalization of epithelial markers rather than their transcriptional repression. Moreover, 90% of human liver cancer cell lines exhibit partial EMT, a state that facilitates the formation of cell clusters and enhances cancer dissemination [CITATION]""",Multilevel Heterogeneity of Colorectal Cancer Liver Metastasi,2023
42,Regulation of transforming growth factor-β signaling as a therapeutic approach to treating colorectal cancer,2022,"""[CITATION] determined probes and corresponding genes from analysis of SMAD-binding elements (SBEs) that were correlated with SMAD4 expression. They subsequently confirmed that a SMAD4-modulated gene profile predicted disease-free survival in stage II and III CRC.""",A SMAD4-modulated gene profile predicts disease-free survival in stage II and III colorectal cancer,2022
43,"Flavonoids and their role in oxidative stress, inflammation, and human diseases",2025,"""Accumulated mutations and dysregulation of signaling pathways contribute to unchecked cell cycle progression, the promotion of neoplastic transformation, the escape of apoptosis, and increased invasiveness and metastasis [CITATION]""",Signaling pathways involved in colorectal cancer progression,2019
44,Understanding and targeting resistance mechanisms in cancer,2023,"""The mechanism of EMT is mainly due to changes in the epithelial cells themselves or the surrounding microenvironment, leading to the activation of a series of signal transduction pathways, and related transcription factors in the nucleus play a regulatory role [CITATION].""",MicroRNA-17-5p regulates EMT by targeting vimentin in colorectal cancer,2020
45,The Circadian Gene Per1 Plays an Important Role in Cell Growth and DNA Damage Control in Human Cancer Cells,2006,"""A recent study showed that activation of Chk2 in the absence of DNA damage inhibits cancer cell proliferation in a p53-independent manner [CITATION]""",Dual Induction of Apoptosis and Senescence in Cancer Cells by Chk2 Activation: Checkpoint Activation as a Strategy against Cancer,2005
46,Bile acid metabolism and signaling in health and disease: molecular mechanisms and therapeutic targets,2024,"""LXRα is found extensively within the liver, adipose tissue, the gut, and macrophages, while LXRβ is expressed ubiquitously [CITATION]""",Modulation of liver X receptor signaling as novel therapy for prostate cancer,2007
47,Epigenetics and environment in breast cancer: New paradigms for anti-cancer therapies,2022,"""targeting DOT1L by pharmacological interventions inhibited the growth and metastasis of TNBC cancer [CITATION]""",Targeting Histone Methyltransferase DOT1L by a Novel Psammaplin A Analog Inhibits Growth and Metastasis of Triple-Negative Breast Cancer,2019
48,Reprogramming of fatty acid metabolism in cancer,2019,"""In haematological malignancies, for instance, acetyl-CoA is an obligate cofactor for CREB-binding protein (CBP)/p300, which activates the transcription factor c-Myb and induces the expression of the self-renewal genes Oct4, Sox2, Klf4 and CSF1R [CITATION]""",Acetylation and deacetylation in cancer stem-like cells.,2017
49,The Targeted Inhibition of Histone Lysine Demethylases as a Novel Promising Anti-Cancer Therapeutic Strategy—An Update on Recent Evidence,2025,"""KDM4s have been implicated in the tumorigenesis in various tissues, and their inhibition was shown to affect cell viability, proliferation, migration, invasion, and tumor growth in vivo. The knockout of KDM4A or 4B or 4C reduced neuroblastoma cell proliferation in vitro and tumor growth in vivo [CITATION]""",Histone lysine demethylase 4 family proteins maintain the transcriptional program and adrenergic cellular state of MYCN-amplified neuroblastoma,2024
50,"The Molecular Basis and Clinical Consequences of Chronic Inflammation in Prostatic Diseases: Prostatitis, Benign Prostatic Hyperplasia, and Prostate Cancer",2023,"""LPS acts as a tumor promoter in esophageal squamous cell carcinoma by the epigenetic induction of cancer cell stemness through the activation of an LPS-TET3-HOXB2 signaling axis [CITATION].""",Epigenetic induction of tumor stemness via the lipopolysaccharide-TET3-HOXB2 signaling axis in esophageal squamous cell carcinoma,2020
51,"EHMT1/EHMT2 in EMT, cancer stemness and drug resistance: emerging evidence and mechanisms",2021,"""The downregulation of miR124 is associated with invasive, migratory and stemness of breast cancer cells through activation of NF-κB and STAT3 signalling [CITATION]""",CDYL2 epigenetically regulates MIR124 to control NF-κB/STAT3-dependent breast cancer cell plasticity,2020
52,SOX11 regulates SWI/SNF complex components as member of the adrenergic neuroblastoma core regulatory circuitry,2023,"""Structural disruption of the BAF complex, achieved by silencing of its essential subunits and direct SOX11 targets ARID1A and ARID1B, exerted an epigenomic reprogramming in neuroblastoma cells, resulting in reduced neuroblastoma invasiveness and metastasis [CITATION]""",Structural disruption of BAF chromatin remodeller impairs neuroblastoma metastasis by reverting an invasiveness epigenomic program,2022
53,The role of MicroRNAs in human cancer,2016,"""Regarding to Dicer dysregulation, it was observed that Dicer1 impairment in colorectal cancer (CRC) cells induces the acquisition of a greater capacity for tumor initiation and metastasis [CITATION].""",Impaired DICER1 function promotes stemness and metastasis in colon cancer,2014
54,Histone modifications in drug-resistant cancers: From a cancer stem cell and immune evasion perspective,2023,"""CPTH6, an inhibitor of PCAF and GCN5, can reduce CSC markers such as CD133 and ALDH and engage in the autophagy pathway to inhibit the growth of lung cancer stem-like cells [CITATION]""",Histone acetyltransferase inhibitor CPTH6 preferentially targets lung cancer stem-like cells,2016
55,Genetic and Molecular Heterogeneity of Synovial Sarcoma and Associated Challenges in Therapy,2024,"""YM155 or Sepantronium bromide, a suppressant of the anti-apoptotic gene survivin, has already demonstrated efficacy for various cancers in 11 clinical trials. It was shown in vitro that YM155 decreased anti-apoptotic BIRC5/survivin expression resulting in caspase 3/7/8 upregulation and SS cell death [CITATION]""",Epigenetic Changes at the Birc5 Promoter Induced by YM155 in Synovial Sarcoma,2019
56,Impact of risk factors on early cancer evolution,2023,"""The mechanism preventing epidermal progenitor cells from initiating oncogenic Pik3ca-driven skin squamous cell carcinomas is neither via enhanced cellular senescence nor apoptosis but by skewing Pik3ca progenitor cell differentiation into cells that are shed from the epithelium [CITATION]""",Oncogenic activation of PI3K induces progenitor cell differentiation to suppress epidermal growth,2018
57,Cell-mediated immunity and expression of MHC class I and class II molecules in dogs naturally infected by canine transmissible venereal tumor: Is there complete spontaneous regression outside the experimental CTVT?,2022,"""CTVT is a round cell tumor that has a mesenchymal origin in myeloid lineage [CITATION]""",Transmissible cancers in an evolutionary context,2016
58,"Hypoxia, oxidative stress, and the interplay of HIFs and NRF2 signaling in cancer",2024,"""In vitro, hypoxic conditions increased NRF2 and HO-1 expression levels, as did HIF-1α. NRF2 knockdown blocked HIF-1α and HO-1 upregulation, further suppressing gastric cancer survival. Mechanistically, hypoxia-driven VEGF-A activates the nuclear translocation of NRF2 through the RAP1B/ERK/AKT signaling cascade [CITATION]""",Abnormal phenotype of Nrf2 is associated with poor prognosis through hypoxic/VEGF-A-Rap1b/VEGFR2 pathway in gastric cancer,2022
59,Progression risk assessments of individual non-invasive gastric neoplasms by genomic copy-number profile and mucin phenotype,2015,"""Larger sized genes, for which the representative copy-numbers were determined by averaging a greater number of probe copy-numbers within the gene, were used to cancel out noise in the gene copy-number [CITATION]. The reproducibility of genomic copy-number profiles was also assessed by confirming (1) neighbouring positions in clustering dendrograms of samples from identical tumours""",Genetic lineages of undifferentiated-type gastric carcinomas analysed by unsupervised clustering of genomic DNA microarray data,2013
60,TGFβ in Cancer,2008,"""In the absence of TGFBRII, transitional epithelia and premalignant cells generate squamous cell carcinomas. Similarly, mice with a targeted disruption of BMPR1A develop polyps in the intestinal epithelium but carcinomas in the gastrointestinal transitional zone [CITATION]""",Bone Morphogenetic Protein Signaling Suppresses Tumorigenesis at Gastric Epithelial Transition Zones in Mice,2007
61,Fusobacterium nucleatum promotes tumor progression in KRAS p.G12D-mutant colorectal cancer by binding to DHX15,2024,"""According to The Cancer Genome Atlas (TCGA) database, APC, TP53, KRAS, and SMAD4 are the four most frequently mutated genes in patients with CRC, and their alterations often exhibit prognostic relevance [CITATION]""",Novel recurrently mutated genes and a prognostic mutation signature in colorectal cancer,2015
62,The Roles of Frequently Mutated Genes of Pancreatic Cancer in Regulation of Tumor Microenvironment,2023,"""In patients with PDAC with diabetes, somatic mutations of immune-related pathway genes such as CD70 and IRF4 are further enriched [CITATION]""",Immune-related somatic mutation genes are enriched in PDACs with diabetes,2019
63,lioblastoma research on zebrafish xenograft models: a systematic review,2024,"""GBM cell injection into the yolk sac of zebrafish larvae was followed by no increase in the fluorescent signal intensity at 1–3dpt in contrast to orthotopic injection [CITATION]""",RECQ1 Helicase Silencing Decreases the Tumour Growth Rate of U87 Glioblastoma Cell Xenografts in Zebrafish Embryos,2017
64,Drug Resistance Mechanisms of Acute Myeloid Leukemia Stem Cells,2022,"""It was found that GLI1 can promote AML cell proliferation directly through PI3K signaling pathway and can be reversed by AKT inhibitors [CITATION]""",GLI1 reduces drug sensitivity by regulating cell cycle through PI3K/AKT/GSK3/CDK pathway in acute myeloid leukemia,2021
65,Repurposing the Bis-Biguanide Alexidine in Combination with Tyrosine Kinase Inhibitors to Eliminate Leukemic Stem/Progenitor Cells in Chronic Myeloid Leukemia,2023,"""The PCR-amplified BCR::ABL1 product was subcloned into a pCR(R)-XL TOPOR plasmid (Invitrogen Life Technologies) before being inserted into the SIV-GAE SFFViresGFP lentiviral vector [CITATION]""",Combination of PKCδ Inhibition with Conventional TKI Treatment to Target CML Models,2021
66,Biological impact and therapeutic implication of tumor-associated macrophages in hepatocellular carcinoma,2024,"""The presence of a loop between COX-2 and yes-associated protein (YAP) can increase the growth and progression of HCC [CITATION].""",COX-2 Forms Regulatory Loop with YAP to Promote Proliferation and Tumorigenesis of Hepatocellular Carcinoma Cells,2018
67,The Role of Carcinogenesis-Related Biomarkers in the Wnt Pathway and Their Effects on Epithelial–Mesenchymal Transition (EMT) in Oral Squamous Cell Carcinoma,2020,"""[CITATION] found that inhibition of Connexin 32 (Cx32) upregulates Snail expression via activation of Wnt/β-catenin signaling in Hepatocellular carcinoma (HCC). Moreover, with decreased expression of Cx32 and a reduction in E-cadherin, higher Snail expression and nuclear accumulation of β-catenin was observed in HCC tissues.""",Downregulated connexin32 promotes EMT through the Wnt/β-catenin pathway by targeting Snail expression in hepatocellular carcinoma,2017
68,NF-κB in biology and targeted therapy: new insights and translational implications,2024,"""In hepatitis B Virus (HBV)-related hepatocellular carcinoma (HCC), hepatitis B protein X (HBx) induces aerobic glycolysis and produces a large amount of lactic acid through NF-κB/hexokinase 2 (HK2) signaling, which further activates PI3K/AKT signaling and improves the malignant proliferation ability of HCC cells [CITATION].""",Aerobic glycolysis enhances HBx-initiated hepatocellular carcinogenesis via NF-κBp65/HK2 signalling,2022
69,Metabolic reprogramming and epigenetic modifications in cancer: from the impacts and mechanisms to the treatment potential,2023,"""Ectopic expression of miR-612 partially decreased HADHA levels, reduced invasive pseudopodia formation through HADHA-mediated changes in cell membrane cholesterol levels, and inhibited the metastasis and invasion of HCC cells via its effect on lipid reprogramming [CITATION]""",MiR-612 regulates invadopodia of hepatocellular carcinoma by HADHA-mediated lipid reprogramming,2020
70,Secretogranin 2 binds LILRB4 resulting in immunosuppression,2025,"""Although SCG2 is associated with immunomodulatory effects12, how it regulates immune activity is unknown [CITATION]""",SCG2 is a Prognostic Biomarker Associated With Immune Infiltration and Macrophage Polarization in Colorectal Cancer,2022
71,Roles of circadian clocks in cancer pathogenesis and treatment,2021,"""Another murine melanoma model study reported that circadian disruption facilitates tumor-immune microenvironment remodeling that favors tumor cell proliferation [CITATION]""",Circadian disruption promotes tumor-immune microenvironment remodeling favoring tumor cell proliferation,2020
72,Harnessing type I interferon-mediated immunity to target malignant brain tumors,2023,"""Single-cell RNA sequencing analysis of infiltrating NK cells in a Gl261 syngeneic glioma model revealed the downregulation of IFN genes and reduced expression of activation markers [CITATION], suggesting a role for type I IFNs in NK cells in brain tumors.""","Transcriptome Analysis Identifies Accumulation of Natural Killer Cells with Enhanced Lymphotoxin-β Expression during Glioblastoma Progression""",2022
73,The Colorectal Cancer Tumor Microenvironment and Its Impact on Liver and Lung Metastasis,2021,"""Within ovarian carcinomas, mutations within the 16S and 12S rRNA genes, the D-loop and the MT-CYB gene were most frequent [CITATION]""",Liver Immune Microenvironment and Metastasis from Colorectal Cancer-Pathogenesis and Therapeutic Perspectives,2021
74,Tumor initiation and early tumorigenesis: molecular mechanisms and interventional targets,2024,"""During the progression of preneoplasia to invasive LUAD, the immune system evolves with downregulation of immune-activation pathways, such as dendritic cell maturation and the acute phase reaction pathway, and upregulation of immunosuppressive pathways including T cell exhaustion signaling and poly adenosine diphosphate-ribose polymerase (PARP) signaling pathways [CITATION].""",Immune evolution from preneoplasia to invasive lung adenocarcinomas and underlying molecular features,2021
75,Novel potential inhibitors of complement system and their roles in complement regulation and beyond,2018,"""SUSD2 expression improves M2 polarization that may increase the angiogenesis in the tumor [CITATION]""",SUSD2 promotes tumor-associated macrophage recruitment by increasing levels of MCP-1 in breast cancer,2017
76,Advances in immunotherapy for triple-negative breast cancer,2023,"""The application of FAK inhibitors in the treatment of TNBC cells, along with co-culturing with CIK cells, resulted in a higher incidence of cell death, suggesting that FAK enhances the susceptibility of tumor cells to CIK cells [CITATION]""",Impact of FAK Expression on the Cytotoxic Effects of CIK Therapy in Triple-Negative Breast Cancer,2019
77,Targeting of Tetraspanin CD81 with Monoclonal Antibodies and Small Molecules to Combat Cancers and Viral Diseases,2023,"""SAMHD1 inhibitors are being developed for the sensitization of leukemia cells to nucleoside analogue-based therapy [CITATION]""",Differences between intrinsic and acquired nucleoside analogue resistance in acute myeloid leukaemia cells,2021
78,Emerging Trends in the Application of Green Synthesized Biocompatible ZnO Nanoparticles for Translational Paradigm in Cancer Therapy,2022,"""KRAS is the most often mutated RAS gene in lung cancer, typically at codon 12 and sometimes at codons 13 and 61 [CITATION]""",The genetics and biology of KRAS in lung cancer,2013
